County,Population
APPLING,UNDER 1000
BAKER,2500 TO 5000
BALDWIN,5000 TO 10000
BANKS,UNDER 1000
BARTOW,2500 TO 5000
BERRIEN,UNDER 1000
BIBB,10000 TO 15000
BROOKS,2500 TO 5000
BRYAN,2500 TO 5000
BULLOCH,1000 TO 2500
BURKE,10000 TO 15000
BUTTS,2500 TO 5000
CALHOUN,2500 TO 5000
CAMDEN,2500 TO 5000
CAMPBELL,2500 TO 5000
CARROLL,1000 TO 2500
CATOOSA,UNDER 1000
CHARLTON,UNDER 1000
CHATHAM,BETWEEN 20000 AND 30000
CHATTAHOOCHEE,2500 TO 5000
CHATTOOGA,1000 TO 2500
CHEROKEE,1000 TO 2500
CLARKE,5000 TO 10000
CLAY,2500 TO 5000
CLAYTON,1000 TO 2500
CLINCH,UNDER 1000
COBB,2500 TO 5000
COFFEE,UNDER 1000
COLQUITT,UNDER 1000
COLUMBIA,5000 TO 10000
COWETA,5000 TO 10000
CRAWFORD,2500 TO 5000
DADE,UNDER 1000
DAWSON,UNDER 1000
DECATUR,5000 TO 10000
DEKALB,2500 TO 5000
DODGE,
DOOLY,2500 TO 5000
DOUGHERTY,5000 TO 10000
DOUGLAS,
EARLY,2500 TO 5000
ECHOLS,UNDER 1000
EFFINGHAM,1000 TO 2500
ELBERT,2500 TO 5000
EMANUEL,1000 TO 2500
FANNIN,UNDER 1000
FAYETTE,2500 TO 5000
FLOYD,5000 TO 10000
FORSYTH,1000 TO 2500
FRANKLIN,1000 TO 2500
FULTON,15000 TO 20000
GILMER,UNDER 1000
GLASCOCK,UNDER 1000
GLYNN,2500 TO 5000
GORDON,1000 TO 2500
GREENE,5000 TO 10000
GWINNETT,1000 TO 2500
HABERSHAM,UNDER 1000
HALL,1000 TO 2500
HANCOCK,5000 TO 10000
HARALSON,UNDER 1000
HARRIS,5000 TO 10000
HART,1000 TO 2500
HEARD,2500 TO 5000
HENRY,2500 TO 5000
HOUSTON,15000 TO 20000
IRWIN,UNDER 1000
JACKSON,2500 TO 5000
JASPER,5000 TO 10000
JEFFERSON,5000 TO 10000
JOHNSON,UNDER 1000
JONES,5000 TO 10000
LAURENS,2500 TO 5000
LEE,5000 TO 10000
LIBERTY,5000 TO 10000
LINCOLN,2500 TO 5000
LOWNDES,2500 TO 5000
LUMPKIN,UNDER 1000
MACON,5000 TO 10000
MADISON,1000 TO 2500
MARION,2500 TO 5000
McDUFFIE,
McINTOSH,2500 TO 5000
MERIWETHER,5000 TO 10000
MILLER,UNDER 1000
MILTON,UNDER 1000
MITCHELL,2500 TO 5000
MONROE,10000 TO 15000
MONTGOMERY,1000 TO 2500
MORGAN,5000 TO 10000
MURRAY,UNDER 1000
MUSCOGEE,5000 TO 10000
NEWTON,5000 TO 10000
OCONEE,
OGLETHORPE,5000 TO 10000
PAULDING,UNDER 1000
PICKENS,UNDER 1000
PIERCE,UNDER 1000
PIKE,2500 TO 5000
POLK,2500 TO 5000
PULASKI,5000 TO 10000
PUTNAM,5000 TO 10000
QUITMAN,1000 TO 2500
RABUN,UNDER 1000
RANDOLPH,5000 TO 10000
RICHMOND,10000 TO 15000
ROCKDALE,
SCHLEY,2500 TO 5000
SCREVEN,2500 TO 5000
SPALDING,2500 TO 5000
STEWART,5000 TO 10000
SUMTER,5000 TO 10000
TALBOT,5000 TO 10000
TALIAFERRO,2500 TO 5000
TATTNALL,1000 TO 2500
TAYLOR,2500 TO 5000
TELFAIR,1000 TO 2500
TERRELL,5000 TO 10000
THOMAS,5000 TO 10000
TOWNS,UNDER 1000
TROUP,10000 TO 15000
TWIGGS,5000 TO 10000
UNION,UNDER 1000
UPSON,2500 TO 5000
WALKER,1000 TO 2500
WALTON,2500 TO 5000
WARE,UNDER 1000
WARREN,5000 TO 10000
WASHINGTON,5000 TO 10000
WAYNE,UNDER 1000
WEBSTER,1000 TO 2500
WHITE,UNDER 1000
WHITFIELD,1000 TO 2500
WILCOX,UNDER 1000
WILKES,5000 TO 10000
WILKINSON,2500 TO 5000
WORTH,1000 TO 2500
